episode,alpha_emp,A1_action,A2_action,A3_action,A4_action,r1,r2,r3,r4,r1_shaped,r2_shaped,r3_shaped,r4_shaped,epsilon_A1,epsilon_A2,epsilon_A3,epsilon_A4,total_extraction,stock_level,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward
112,0.2,2,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5704,0.5704,0.5704,0.5704,2,0,-2.0,1,0.69,-1.7
113,0.2,0,0,0,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5676,0.5676,0.5676,0.5676,2,0,-2.0,1,0.69,-1.7
114,0.2,2,2,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5647,0.5647,0.5647,0.5647,4,0,-2.0,1,0.69,-1.7
115,0.2,0,2,1,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5619,0.5619,0.5619,0.5619,3,0,-2.0,1,0.7,-1.7
116,0.2,0,0,0,1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5591,0.5591,0.5591,0.5591,1,1,-2.0,1,0.7,-1.7
117,0.2,0,0,0,1,0.0,0.0,0.0,1.0,0.2667,0.2667,0.2667,0.2,0.5563,0.5563,0.5563,0.5563,1,2,1.0,1,0.7,-1.67
118,0.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5535,0.5535,0.5535,0.5535,0,4,0.0,1,0.7,-1.65
119,0.2,1,2,0,0,1.0,2.0,0.0,0.0,0.7333,0.6667,0.8,0.8,0.5507,0.5507,0.5507,0.5507,3,3,3.0,1,0.7,-1.6
120,0.2,0,0,0,1,0.0,0.0,0.0,1.0,0.2667,0.2667,0.2667,0.2,0.548,0.548,0.548,0.548,1,4,1.0,1,0.71,-1.57
121,0.2,1,2,1,1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5452,0.5452,0.5452,0.5452,5,1,-2.0,0,0.7,-1.57
